N_Fold,Accuracy,F1-Score,Precision,Recall,Meaning,Model
5,0.9333333333333333,0.9333333333333333,0.95,0.95,Mean,
6,0.9166666666666666,0.8888888888888888,0.875,0.9166666666666666,Mean,
7,0.9285714285714286,0.9047619047619048,0.8928571428571429,0.9285714285714286,Mean,
8,0.875,0.8333333333333334,0.84375,0.84375,Mean,
9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,Mean,
10,0.9,0.9,0.9,0.9,Mean,
5,0.14907119849998599,0.14907119849998599,0.11180339887498948,0.11180339887498948,SD,
6,0.2041241452319315,0.27216552697590873,0.30618621784789724,0.2041241452319315,SD,
7,0.1889822365046136,0.25197631533948484,0.2834733547569204,0.1889822365046136,SD,
8,0.23145502494313785,0.3086066999241838,0.2969337347913552,0.2969337347913552,SD,
9,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,SD,
10,0.31622776601683794,0.31622776601683794,0.31622776601683794,0.31622776601683794,SD,
